#Pre-Lum can Dijk 2016, Quantum Yield
280.28413809779124, 0.04256845662519922
281.2615598378206, 0.0429511806937263
282.18110792219034, 0.044070123191209766
283.1006560065601, 0.0455884537840504
284.02020409092984, 0.04712952276691102
284.93975217529953, 0.048387659776814175
285.8593002596693, 0.04857011472177782
286.77884834403903, 0.04857011472177782
287.6983964284087, 0.04875325764807998
288.6179445127785, 0.04995481661063068
289.53749259714823, 0.04925737946460218
290.4570406815179, 0.04954245839194395
291.3765887658877, 0.048681953482764315
292.2961368502574, 0.04796459255563256
293.2156849346271, 0.047904457097622935
294.13523301899687, 0.04766466826734416
295.0547811033666, 0.04757505722611093
295.9743291877363, 0.048266404082036224
296.89387727210607, 0.05279597170221021
297.8134253564758, 0.057281606575373664
298.7329734408455, 0.05796837701652742
299.65252152521526, 0.057678212590081164
300.572069609585, 0.06195373594463411
301.4080224135575, 0.06900220068766678
302.1603799371327, 0.08080753556121459
302.8918386406086, 0.09330882423943399
303.49790442348865, 0.10727998721804984
304.18595788521986, 0.12264316938607324
304.7898314841734, 0.14723294733867892
304.66823834905017, 0.12075934967785983
305.67138171381714, 0.16472818536622047
306.5909297981869, 0.16775213271917677
307.51047788255664, 0.16743675355409487
308.43002596692634, 0.16701717013185022
309.3495740512961, 0.16659863815287881
310.26912213566584, 0.1657993811802921
311.18867022003553, 0.16431538940422888
312.1082183044053, 0.16298093317419182
313.02776638877504, 0.16196180765300341
313.94731447314473, 0.1636981342154742
314.8668625575145, 0.16701717013185022
315.78641064188423, 0.17018985778546458
316.7059587262539, 0.17331406612179887
317.6255068106237, 0.17693902152183882
318.5450548949934, 0.1837213591425633
319.4646029793631, 0.1869805563746256
320.0497699421439, 0.19066341404461062
