#TACHYSTEROL;van Dijk 2016,Molar Absorptivity (mol/l)^-1 cm^-1
280.53986838784346, 23022.80973719435
281.49158775618486, 22824.53352753915
282.4432065996392, 22368.504255698525
283.39477518065, 21795.543470036242
284.3463437616608, 21237.258858433393
285.2979249082825, 20723.126959824316
286.24948092368237, 20163.224087958723
287.20117516080205, 19932.025072157005
288.1528442666999, 19646.750720635595
289.10451337259775, 19365.55931880652
290.05624530655007, 19226.47642976097
291.00792697805883, 18978.639607861038
291.9595332559023, 18572.65724383678
292.911001312026, 17889.419574851006
293.8623939744844, 17082.917446130243
294.8137363744993, 16218.98074692638
295.7648274622965, 14961.10581090171
296.71596881253726, 13880.595761157285
297.6670599003345, 12804.075986117856
298.6178368478596, 11392.962137494644
299.5686514922174, 10181.300887974725
300.519478702186, 9111.627561154886
301.4703687402091, 8213.324691783224
302.4212964750648, 7435.67211989018
303.3721865130879, 6702.599399767095
304.32311424794364, 6067.9850557351165
305.27411737646463, 5541.178694846548
306.2251833330401, 5096.712708125352
307.17627442083733, 4701.43341951258
308.1273655086345, 4336.810305762698
309.0784691620426, 4006.236943592096
310.02958538106157, 3706.2004603903533
310.980764428135, 3453.4368975851903
311.93191834398664, 3208.6474823095455
312.88305969422737, 2976.9148888406635
313.8341759132463, 2753.9667490739207
314.7853172634871, 2555.0717752232536
315.7364334825061, 2363.71645586497
316.6875497015251, 2186.6921852865244
317.6386282237114, 2014.195957845681
318.5895182617345, 1815.6191397892285
319.54035803731404, 1627.209640419102
333.9968420469446, 3433.5806185906326
333.9535535174498, 23.92982680120496
334.9486368089513, 3433.5806185906326
334.9053734106783, 23.99891973865275
335.900431570958, 3433.5806185906326
335.85716817268496, 23.99891973865275
336.85222633296473, 3433.5806185906326
336.8089629346917, 23.99891973865275
337.8040210949714, 3433.5806185906326
337.7607576966984, 23.99891973865275
338.75581585697813, 3433.5806185906326
338.7125524587051, 23.99891973865275
339.70761061898486, 3433.5806185906326
339.6643472207118, 23.99891973865275
340.65940538099153, 3433.5806185906326
340.61614198271855, 23.99891973865275
341.61120014299826, 3433.5806185906326
341.5679367447252, 23.99891973865275
342.3238217713979, 1925.5044078006713
342.31505703714333, 13.527229842457148
342.562994905005, 3433.5806185906326
342.51973150673194, 23.99891973865275
343.51478966701166, 3433.5806185906326
343.50324815341486, 2089.1139768874964
343.47152626873867, 23.99891973865275
343.4598002035494, 14.295899307029616
344.4665844290184, 3433.5806185906326
344.4450356629137, 2110.200631504591
344.1142572654466, 1682.0662443244885
344.42332103074534, 23.99891973865275
344.3102529215182, 13.663913626237505
345.4183791910251, 3433.5806185906326
345.49990047110566, 1933.5365964523407
345.37488961175615, 23.384196476367478
345.4278972922248, 13.674235305645368
346.3701739530318, 3433.5806185906326
346.356305707153, 2107.5996212764317
346.27735806823836, 1668.782420129386
346.32691055475874, 23.99891973865275
346.3336189155559, 13.791587109613035
347.3219687150385, 3433.5806185906326
347.343778950563, 2133.4727014906543
347.27870531676547, 23.99891973865275
347.37346324203634, 13.398358302391756
347.7490446801819, 1814.7824912059782
348.27376347704524, 3433.5806185906326
348.2305000787722, 23.99891973865275
349.2255582390519, 3433.5806185906326
349.18229484077887, 23.99891973865275
350.17735300105863, 3433.5806185906326
350.1340896027856, 23.99891973865275
351.12914776306536, 3433.5806185906326
351.0858843647923, 23.99891973865275
352.08094252507203, 3433.5806185906326
352.037679126799, 23.99891973865275
353.03273728707876, 3433.5806185906326
352.9894738888057, 23.99891973865275
353.9845320490855, 3433.5806185906326
353.94126865081245, 23.99891973865275
354.8497385826706, 3409.46680994216
354.8930634128191, 23.99891973865275
355.88814670432066, 3443.494445918896
355.84485817482584, 23.99891973865275
356.83991633510556, 3433.5806185906326
356.7966529368325, 23.99891973865275
357.7917110971123, 3433.5806185906326
357.74844769883924, 23.99891973865275
358.743505859119, 3433.5806185906326
358.70024246084597, 23.99891973865275
359.6953006211257, 3433.5806185906326
359.65203722285264, 23.99891973865275
360.6470953831324, 3433.5806185906326
360.60383198485937, 23.99891973865275
361.59889014513914, 3433.5806185906326
361.5556267468661, 23.99891973865275
362.5506849071458, 3433.5806185906326
362.50742150887277, 23.99891973865275
363.50247966915254, 3433.5806185906326
363.4592162708795, 23.99891973865275
364.45427443115926, 3433.5806185906326
364.4110110328862, 23.99891973865275
365.40606919316593, 3433.5806185906326
365.3628057948929, 23.99891973865275
366.35786395517266, 3433.5806185906326
366.3146005568996, 23.99891973865275
367.30965871717933, 3433.5806185906326
367.26639531890635, 23.99891973865275
368.26145347918606, 3433.5806185906326
368.218190080913, 23.99891973865275
369.2132482411928, 3433.5806185906326
369.16998484291975, 23.99891973865275
370.16504300319946, 3433.5806185906326
370.1217796049265, 23.99891973865275
371.1168377652062, 3433.5806185906326
371.07357436693314, 23.99891973865275
372.0686325272129, 3433.5806185906326
372.0253691289399, 23.99891973865275
373.0204272892196, 3433.5806185906326
372.9771638909466, 23.99891973865275
373.9722220512263, 3433.5806185906326
373.92895865295327, 23.99891973865275
374.7076998218679, 3433.5806185906326
374.66443642359485, 23.99891973865275
